lambda (um),fnu (uJy),flamb (erg/cm^2/s/A),flamb (erg/cm^2/s/cm),fnu (Jy)
0.407338,159.161,2.875726030876181e-16,2.8757260308761804e-08,0.000159161
0.407348,159.184,2.8760003843469917e-16,2.876000384346991e-08,0.00015918399999999999
0.407358,159.205,2.8762385748967497e-16,2.8762385748967493e-08,0.00015920500000000002
0.407368,159.227,2.876494803963265e-16,2.8764948039632648e-08,0.00015922699999999999
0.407378,159.25,2.8767690688889395e-16,2.8767690688889392e-08,0.00015925
0.407388,159.271,2.877007176225212e-16,2.8770071762252114e-08,0.00015927099999999997
0.407398,159.292,2.8772452567168744e-16,2.877245256716874e-08,0.000159292
0.407408,159.315,2.8775194340143055e-16,2.877519434014305e-08,0.000159315
0.407418,159.337,2.8777755199897527e-16,2.877775519989752e-08,0.00015933699999999998
0.407428,159.358,2.8780135173064163e-16,2.8780135173064157e-08,0.000159358
0.407438,159.381,2.878287606118889e-16,2.8782876061188886e-08,0.000159381
0.407448,159.402,2.878525548001664e-16,2.8785255480016636e-08,0.00015940199999999998
0.407458,159.424,2.8787815204498147e-16,2.8787815204498142e-08,0.000159424
0.407468,159.447,2.879055520807497e-16,2.8790555208074967e-08,0.000159447
0.407478,159.468,2.879293379563598e-16,2.8792933795635974e-08,0.00015946799999999998
0.407488,159.489,2.879531211503427e-16,2.879531211503427e-08,0.000159489
0.407498,159.512,2.879805124322593e-16,2.8798051243225925e-08,0.000159512
0.407508,159.534,2.880060953827256e-16,2.8800609538272556e-08,0.000159534
0.407518,159.555,2.8802987026788513e-16,2.8802987026788508e-08,0.000159555
0.407528,159.578,2.8805725271033324e-16,2.880572527103332e-08,0.00015957799999999998
0.407538,159.599,2.880810220578863e-16,2.8808102205788628e-08,0.000159599
0.407548,159.621,2.881065936673636e-16,2.8810659366736354e-08,0.000159621
0.407558,159.644,2.881339672733567e-16,2.8813396727335666e-08,0.000159644
0.407568,159.665,2.8815772831691285e-16,2.881577283169128e-08,0.000159665
0.407578,159.686,2.881814866816726e-16,2.8818148668167254e-08,0.000159686
0.407588,159.709,2.8820885154277553e-16,2.882088515427755e-08,0.00015970899999999998
0.407598,159.731,2.8823440887264455e-16,2.8823440887264452e-08,0.00015973099999999998
0.407608,159.752,2.8825815893724684e-16,2.882581589372468e-08,0.000159752
0.407618,159.775,2.8828551496789826e-16,2.8828551496789822e-08,0.000159775
0.407628,159.796,2.883092595006691e-16,2.8830925950066906e-08,0.00015979599999999997
0.407638,159.818,2.8833480550127596e-16,2.8833480550127592e-08,0.000159818
0.407648,159.841,2.883621527044854e-16,2.8836215270448534e-08,0.000159841
0.407658,159.862,2.8838588894191954e-16,2.883858889419195e-08,0.00015986199999999998
0.407668,159.883,2.884096225033847e-16,2.8840962250338468e-08,0.00015988300000000001
0.407678,159.906,2.88436960970655e-16,2.8843696097065495e-08,0.000159906
0.407688,159.928,2.8846249270637627e-16,2.8846249270637623e-08,0.000159928
0.407698,159.951,2.884898252038677e-16,2.8848982520386765e-08,0.00015995099999999997
0.407708,159.972,2.8851354762216407e-16,2.8851354762216403e-08,0.000159972
0.407718,159.993,2.885372673660641e-16,2.8853726736606404e-08,0.00015999299999999998
0.407728,160.016,2.8856459113259547e-16,2.8856459113259543e-08,0.000160016
0.407738,160.038,2.8859010861162113e-16,2.885901086116211e-08,0.00016003800000000002
0.407748,160.059,2.88613820068834e-16,2.8861382006883396e-08,0.000160059
0.407758,160.082,2.886411350189292e-16,2.8864113501892915e-08,0.00016008199999999998
0.407768,160.103,2.8866484095328817e-16,2.8866484095328814e-08,0.000160103
0.407778,160.125,2.886903471212795e-16,2.8869034712127948e-08,0.000160125
0.407788,160.148,2.8871765325794285e-16,2.887176532579428e-08,0.00016014799999999999
0.407798,160.169,2.887413509104263e-16,2.8874135091042623e-08,0.000160169
0.407808,160.19,2.8876504589133533e-16,2.887650458913353e-08,0.00016019
